"MPG" "Country"
"1" 10 "US"
"2" 7 "US"
"3" 10 "US"
"4" 8 "US"
"5" 9 "US"
"6" 7 "US"
"7" 6 "US"
"8" 6 "US"
"9" 6 "US"
"10" 7 "US"
"11" 7 "US"
"12" 6 "US"
"13" 7 "US"
"14" 6 "US"
"15" 14 "US"
"16" 10 "US"
"17" 13 "US"
"18" 13 "US"
"19" 2 "US"
"20" 2 "US"
"21" 3 "US"
"22" 35 "US"
"23" 20 "US"
"24" 17 "US"
"25" 11 "US"
"26" 8 "US"
"27" 9 "US"
"28" 11 "US"
"29" 10 "US"
"30" 6 "US"
"31" 6 "US"
"32" 6 "US"
"33" 6 "US"
"34" 4 "US"
"35" 5 "US"
"36" 5 "US"
"37" 10 "US"
"38" 14 "US"
"39" 11 "US"
"40" 10 "US"
"41" 15 "US"
"42" 18 "US"
"43" 17 "US"
"44" 12 "US"
"45" 13 "US"
"46" 5 "US"
"47" 6 "US"
"48" 7 "US"
"49" 6 "US"
"50" 9 "US"
"51" 3 "US"
"52" 5 "US"
"53" 4 "US"
"54" 5 "US"
"55" 7 "US"
"56" 5 "US"
"57" 5 "US"
"58" 6 "US"
"59" 14 "US"
"60" 20 "US"
"61" 5 "US"
"62" 6 "US"
"63" 5 "US"
"64" 6 "US"
"65" 7 "US"
"66" 4 "US"
"67" 5 "US"
"68" 5 "US"
"69" 6 "US"
"70" 5 "US"
"71" 4 "US"
"72" 5 "US"
"73" 10 "US"
"74" 8 "US"
"75" 10 "US"
"76" 10 "US"
"77" 15 "US"
"78" 3 "US"
"79" 4 "US"
"80" 5 "US"
"81" 4 "US"
"82" 10 "US"
"83" 13 "US"
"84" 11 "US"
"85" 13 "US"
"86" 7 "US"
"87" 8 "US"
"88" 7 "US"
"89" 3 "US"
"90" 12 "US"
"91" 13 "US"
"92" 11 "US"
"93" 7 "US"
"94" 18 "US"
"95" 17 "US"
"96" 8 "US"
"97" 8 "US"
"98" 10 "US"
"99" 8 "US"
"100" 5 "US"
"101" 6 "US"
"102" 6 "US"
"103" 6 "US"
"104" 20 "US"
"105" 11 "US"
"106" 10 "US"
"107" 7 "US"
"108" 7 "US"
"109" 8 "US"
"110" 7 "US"
"111" 8 "US"
"112" 6 "US"
"113" 9 "US"
"114" 8 "US"
"115" 7 "US"
"116" 10 "US"
"117" 13 "US"
"118" 12 "US"
"119" 5 "US"
"120" 15 "US"
"121" 12 "US"
"122" 15 "US"
"123" 10 "US"
"124" 11 "US"
"125" 17 "US"
"126" 18 "US"
"127" 10 "US"
"128" 8 "US"
"129" 8 "US"
"130" 7 "US"
"131" 14 "US"
"132" 14 "US"
"133" 16 "US"
"134" 15 "US"
"135" 21 "US"
"136" 17 "US"
"137" 12 "US"
"138" 10 "US"
"139" 11 "US"
"140" 10 "US"
"141" 19 "US"
"142" 5 "US"
"143" 9 "US"
"144" 5 "US"
"145" 5 "US"
"146" 5 "US"
"147" 22 "US"
"148" 18 "US"
"149" 10 "US"
"150" 9 "US"
"151" 8 "US"
"152" 7 "US"
"153" 10 "US"
"154" 13 "US"
"155" 11 "US"
"156" 11 "US"
"157" 8 "US"
"158" 8 "US"
"159" 8 "US"
"160" 8 "US"
"161" 17 "US"
"162" 18 "US"
"163" 23 "US"
"164" 26 "US"
"165" 28 "US"
"166" 12 "US"
"167" 11 "US"
"168" 12 "US"
"169" 11 "US"
"170" 13 "US"
"171" 12 "US"
"172" 17 "US"
"173" 13 "US"
"174" 11 "US"
"175" 13 "US"
"176" 13 "US"
